,Time,Treat
826,4,placebo
827,4,placebo
828,4,placebo
829,4,placebo
830,4,placebo
831,4,placebo
832,4,placebo
833,4,placebo
834,4,placebo
835,4,placebo
836,4,placebo
837,4,placebo
838,4,placebo
839,4,placebo
840,4,placebo
841,4,placebo
842,4,placebo
843,4,placebo
844,4,placebo
845,4,placebo
846,4,placebo
847,4,placebo
850,4,placebo
851,4,placebo
852,4,placebo
853,4,placebo
854,4,placebo
855,4,placebo
856,4,placebo
857,4,placebo
858,4,placebo
859,4,placebo
860,4,placebo
861,4,placebo
862,4,placebo
864,4,placebo
867,4,placebo
868,4,placebo
871,4,placebo
872,4,placebo
876,4,placebo
878,4,placebo
879,4,placebo
881,4,placebo
884,4,placebo
886,4,placebo
888,4,placebo
890,4,placebo
891,4,placebo
894,4,placebo
896,4,placebo
897,4,placebo
898,4,placebo
899,4,placebo
900,4,placebo
901,4,placebo
902,4,placebo
903,4,placebo
904,4,placebo
905,4,placebo
906,4,placebo
